uid,created_at,updated_at,deleted_at,crop_uid,season,score
crop-season-063-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-063,KHARIF,0
crop-season-063-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-063,RABI,2
crop-season-063-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-063,ZAID,0
crop-season-063-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-063,LONGTERM,0
crop-season-064-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-064,KHARIF,0
crop-season-064-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-064,RABI,2
crop-season-064-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-064,ZAID,0
crop-season-064-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-064,LONGTERM,0
crop-season-065-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-065,KHARIF,0
crop-season-065-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-065,RABI,2
crop-season-065-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-065,ZAID,0
crop-season-065-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-065,LONGTERM,0
crop-season-066-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-066,KHARIF,0
crop-season-066-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-066,RABI,2
crop-season-066-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-066,ZAID,0
crop-season-066-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-066,LONGTERM,0
crop-season-067-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-067,KHARIF,0
crop-season-067-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-067,RABI,0
crop-season-067-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-067,ZAID,0
crop-season-067-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-067,LONGTERM,2
crop-season-068-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-068,KHARIF,0
crop-season-068-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-068,RABI,0
crop-season-068-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-068,ZAID,0
crop-season-068-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-068,LONGTERM,2
crop-season-069-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-069,KHARIF,0
crop-season-069-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-069,RABI,0
crop-season-069-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-069,ZAID,0
crop-season-069-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-069,LONGTERM,2
crop-season-070-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-070,KHARIF,0
